S1_T	S1_AX	S1_AY	S1_AZ	S1_GX	S1_GY	S1_GZ	S1_MX	S1_MY	S1_MZ	S2_T	S2_AX	S2_AY	S2_AZ	S2_GX	S2_GY	S2_GZ	S2_MX	S2_MY	S2_MZ	S3_T	S3_AX	S3_AY	S3_AZ	S3_GX	S3_GY	S3_GZ	S3_MX	S3_MY	S3_MZ
0.0	-1.767453669677531	2.31263177644056	0.9944515206708768	2.25347190778102	2.447141517140134	1.422979487197489	-1.742008054345117E-5	1.3245693011983766E-4	9.554399748807326E-5	0.0	-2.163144378194933	-1.3137704884325374	2.277041028899956	-0.6563860097952244	6.3635678651739145	-1.5114238504572834	-0.21680124452123836	-0.16954002569078958	0.10979790291358459	0.0	-1.3271922649230468	0.028701917539327253	2.3752757856509046	1.5386083487376379	6.045298610419179	5.244037931674728	-0.06368473837887194	-0.008077593223723043	0.17797282531275518
9.765625	-1.7674536769109626	2.312631771998829	0.9944515241074809	2.2534713230280237	2.4471414630017403	1.422979262406384	-1.742008054345117E-5	1.3245693011983766E-4	9.554399748807326E-5	9.765625	-2.1631443109969304	-1.3137704785015718	2.2770410467365485	-0.6563861564811949	6.363567554894654	-1.51142384801778	-0.21680124133064227	-0.1695400148796609	0.10979790361515657	9.765625	-1.3271919629462716	0.028701795685442073	2.3752755366120266	1.5386085860574308	6.045298610576316	5.244037799072897	-0.06368473837887194	-0.008077586228286833	0.17797282531275518
19.53125	-1.767453740860712	2.312631729312623	0.99445155860488	2.2534667365451786	2.4471409195170315	1.4229775727421765	-1.742006913142496E-5	1.324568844717328E-4	9.554400889975121E-5	19.53125	-2.163143609003003	-1.3137703738758664	2.277041206827134	-0.6563871244420086	6.363564985205855	-1.5114237971808502	-0.21680121494869856	-0.1695399304465498	0.10979790773244161	19.53125	-1.327189160981537	0.028700569824625936	2.375273278673143	1.538610673893114	6.045298495673443	5.244036706238598	-0.06368473837887194	-0.008077531183601053	0.17797282531275518
29.296875	-1.7674540142792043	2.3126315308473884	0.9944517246657112	2.2534486050584728	2.447138439671207	1.422971352516902	-1.7419990746135028E-5	1.324565823425993E-4	9.554404163593723E-5	29.296875	-2.163139975772312	-1.3137698905417308	2.2770418185570347	-0.6563900673983152	6.363554287706596	-1.5114234516105316	-0.21680110399869632	-0.16953960027238046	0.10979791551237733	29.296875	-1.3271762116751997	0.028694425735413913	2.375263201353532	1.5386195183530469	6.045297404276644	5.244032093722148	-0.06368473900945855	-0.008077318717801277	0.17797282080747973
39.0625	-1.767454783041721	2.3126309181403184	0.9944522452979583	2.253398708256714	2.447131234373358	1.422955880845085	-1.741982004564531E-5	1.3245556709298674E-4	9.554397868137199E-5	39.0625	-2.163127352414776	-1.313768571628687	2.2770430206963845	-0.6563952857083925	6.363523675047753	-1.5114220833993355	-0.21680078261923047	-0.16953871967079046	0.109797911003858	39.0625	-1.3271353724380854	0.028673684882933665	2.375232926398576	1.5386445209937822	6.045292456279687	5.244018610334261	-0.06368474207956829	-0.008076763932975302	0.1779727872878463
48.828125	-1.7674564228186187	2.3126294564666523	0.994453462530434	2.2532879976642803	2.4471154644949342	1.4229255802522263	-1.7419946426222925E-5	1.3245310190861549E-4	9.554343291186581E-5	48.828125	-2.163093669451511	-1.3137662019211898	2.2770436562103087	-0.6564003030111301	6.363454542163286	-1.5114181994488172	-0.21680005223731685	-0.1695368785639297	0.1097978536584396	48.828125	-1.3270344007215438	0.02862020562506517	2.3751622341005176	1.5386991823139953	6.04527773365697	5.243987699156593	-0.06368475104690989	-0.008075626815674008	0.17797267003466738
58.59375	-1.7674593271168648	2.3126264995065613	0.9944557587690349	2.2530740215145793	2.44708651544224	1.4228743874842902	-1.7421587680858694E-5	1.3244808505767734E-4	9.554185203570014E-5	58.59375	-2.163018893517177	-1.3137634040444723	2.2770397502799287	-0.6563993287860324	6.363321580818962	-1.5114093415035883	-0.21679864903242174	-0.16953360472179527	0.10979768450260793	58.59375	-1.3268236358189243	0.02850706387560458	2.375022467464427	1.538798859794165	6.045244198229027	5.243927992648026	-0.06368477961393935	-0.008073636372048741	0.17797240760604502
68.359375	-1.7674638605176076	2.3126211407268586	0.9944594403844099	2.2527001262177584	2.447039008238674	1.422795688564192	-1.742667789315817E-5	1.3243907012114726E-4	9.553881751081999E-5	68.359375	-2.1628732945409634	-1.3137618906456607	2.2770232603571143	-0.6563842844709052	6.363093805212388	-1.5113919212217186	-0.21679626639833516	-0.16952840741164055	0.10979733452125305	68.359375	-1.3264361600925403	0.028300403194366185	2.374775625694108	1.5389572575490642	6.0451798015977225	5.243825869327611	-0.06368487116126025	-0.008070509581471576	0.17797197374545354
78.125	-1.7674703202519548	2.3126121790924024	0.994464641049075	2.2520982321113667	2.4469670247610464	1.4226824069147863	-1.7437488953332652E-5	1.3242446952315136E-4	9.553404327155544E-5	78.125	-2.1626157970992703	-1.3137640947828835	2.276981285976331	-0.656345635051381	6.362736361212004	-1.5113611310625514	-0.21679259486022118	-0.1695208191616182	0.109796730006143	78.125	-1.3257908973987436	0.027961405668606006	2.3743734031106998	1.5391849462006524	6.045069496128753	5.243665873589074	-0.06368511175626299	-0.008065959938041791	0.17797139004724566
87.890625	-1.7674788746785552	2.312598095461681	0.9944712506312574	2.251192475856018	2.446864190495738	1.4225273526029174	-1.7456455029673002E-5	1.3240266617072017E-4	9.552699707397603E-5	87.890625	-2.1621928894255062	-1.3137723283285965	2.276895569710375	-0.6562728405229761	6.362212773676004	-1.5113110752650407	-0.21678735401198845	-0.16951039292679645	0.10979579800876833	87.890625	-1.3247961592528386	0.02744772378176899	2.3737571947046727	1.5394915458026632	6.044896235641193	5.2434314355432186	-0.06368562479950238	-0.00805969361705406	0.17797069677402777
97.65625	-1.7674894763707787	2.3125769917861274	0.9944788347169501	2.24990182275927	2.446722885590262	1.4223236539575064	-1.748584538992403E-5	1.3237181540794797E-4	9.551670752291864E-5	97.65625	-2.1615389133767273	-1.313787919462922	2.2767422314821015	-0.6561553107847753	6.361487331866444	-1.5112350533732613	-0.21678028720428671	-0.1694966493554568	0.10979446622910273	97.65625	-1.3233520788988142	0.026715130219821897	2.3728588900001104	1.5398890670286423	6.044643315716614	5.243106002819904	-0.06368656284191401	-0.008051406907250177	0.17796991552187907
