S1_T	S1_AX	S1_AY	S1_AZ	S1_GX	S1_GY	S1_GZ	S1_MX	S1_MY	S1_MZ	S2_T	S2_AX	S2_AY	S2_AZ	S2_GX	S2_GY	S2_GZ	S2_MX	S2_MY	S2_MZ	S3_T	S3_AX	S3_AY	S3_AZ	S3_GX	S3_GY	S3_GZ	S3_MX	S3_MY	S3_MZ
0.0	-0.4166333482805594	2.7717375793543915	1.048914157434153	-0.22172724540586253	0.941931366069551	-1.2645677810156049	0.007357814852026986	-0.006443918561517411	-0.0035812056624900603	0.0	0.22270558853305827	-3.0791934942282024	2.592111120835228	-0.06592583437288344	0.5297410707601538	1.9671468522213746	0.04489553312776859	-0.31254607039236354	0.07673381693577584	0.0	0.7916605185023342	-1.4705699486283568	-0.6639772980395161	0.04740338653257583	-0.4575955018960693	0.6320421394347623	0.0	0.0	0.0
9.765625	-0.41663335540834723	2.771737581547557	1.0489141560634245	-0.2217275133180263	0.9419313679279346	-1.264567779700389	0.007357812273145173	-0.0064439159826355985	-0.0035811985705650746	9.765625	0.2227055490668893	-3.079193458498326	2.592111082529829	-0.06592593856300606	0.5297410681527399	1.9671468432244639	0.04489552681362081	-0.31254608537842293	0.07673381693577584	9.765625	0.791660722475819	-1.4705699399806083	-0.6639771698449599	0.047403382263538886	-0.4575955611446737	0.632042052260302	0.0	0.0	0.0
19.53125	-0.41663342304384915	2.77173760687134	1.0489141470211656	-0.22172907900556676	0.9419314384239642	-1.2645677719386552	0.007357786178325522	-0.006443896335020479	-0.003581145345524063	19.53125	0.22270516967745296	-3.0791930800237712	2.592110676357669	-0.06592681728253473	0.5297410696945736	1.9671467551482522	0.044895482742335596	-0.3125461883125197	0.07673381768968282	19.53125	0.7916625900779405	-1.470569709534659	-0.6639759216317839	0.047403790701782154	-0.4575959145913102	0.6320414013564012	0.0	0.0	0.0
29.296875	-0.41663374133216036	2.771737749270313	1.048914126138202	-0.221733352253956	0.9419318178175657	-1.2645677938462185	0.007357667469605997	-0.006443818686333088	-0.0035809489520561965	29.296875	0.22270332422350525	-3.079191143493857	2.592108597077983	-0.06593054177395434	0.5297411638255022	1.967146374240764	0.044895327351029135	-0.31254654021152606	0.07673382588363896	29.296875	0.7916710839912375	-1.470567976826945	-0.6639696436999107	0.04740690913891808	-0.4575969092227545	0.6320389911996268	0.0	0.0	0.0
39.0625	-0.41663475302141256	2.771738272271579	1.0489141313740085	-0.22174101111645064	0.9419327675113031	-1.264568097471453	0.007357326052106811	-0.006443599917998048	-0.0035804571564678647	39.0625	0.22269723281379558	-3.079184672247683	2.5921016063602957	-0.0659410821622886	0.529741643440808	1.9671453485024137	0.04489494093817494	-0.312547380093487	0.07673386541292275	39.0625	0.7916971519351589	-1.4705606964101872	-0.6639476984598474	0.04741838368859088	-0.45759876967681373	0.6320328714160043	0.0	0.0	0.0
48.828125	-0.41663724040747085	2.771739701671351	1.048914304253656	-0.2217513264186662	0.9419341371146293	-1.264569306759075	0.00735658847052537	-0.006443101280250083	-0.0035794893187720126	48.828125	0.2226818046299181	-3.079168550871753	2.5920838562359205	-0.06596355316596265	0.5297431362284691	1.9671432850095987	0.04489415664801236	-0.31254901047191097	0.0767339871266996	48.828125	0.7917588848520984	-1.4705394337344386	-0.6638879231913587	0.04744691046960124	-0.45760155126939084	0.6320205019840737	0.0	0.0	0.0
58.59375	-0.4166423496978232	2.7717428601383274	1.048914918764641	-0.2217610002333095	0.9419351663134578	-1.2645722128082288	0.007355249260548196	-0.006442127402914551	-0.0035778621039128204	58.59375	0.22264951162771934	-3.0791361046031978	2.5920467344428975	-0.06600270648780464	0.5297467484398165	1.9671397440934433	0.04489276702284927	-0.3125517797535892	0.076734272620003	58.59375	0.7918806998339979	-1.4704911489615002	-0.6637535267665208	0.04750241359000041	-0.4576052653631942	0.6319988357980024	0.0	0.0	0.0
68.359375	-0.4166515606638692	2.771748860001688	1.0489163506667691	-0.22176288645783013	0.9419345568721545	-1.2645773285921946	0.00735305994715049	-0.006440444636225022	-0.003575395991067718	68.359375	0.22259056440862388	-3.0790802019603243	2.591978785892921	-0.06606240560365034	0.529754171880991	1.9671340810430258	0.044890548378448365	-0.31255604634493384	0.07673483728926274	68.359375	0.7920909782768059	-1.4703995557758964	-0.6634945109878514	0.0475940314223974	-0.4576098755372913	0.6319642666911099	0.0	0.0	0.0
78.125	-0.4166666468443874	2.771759118966839	1.0489190268412631	-0.2217468494265338	0.9419304869668874	-1.264584650906569	0.007349727555784743	-0.006437804604765468	-0.003571899735384861	78.125	0.22249306195551338	-3.078994059110548	2.591865296837616	-0.06614637294467827	0.5297677270557145	1.9671253085583658	0.044887286589991186	-0.31256214983388214	0.07673583346072073	78.125	0.7924190572058448	-1.470246636928076	-0.6630533750866833	0.047728837625598285	-0.45761500545607464	0.6319126646511095	0.0	0.0	0.0
87.890625	-0.41668966562830895	2.771775417145741	1.0489234014108229	-0.22170163221250822	0.9419207484920449	-1.2645935718353323	0.007344942768293287	-0.006433952810389688	-0.0035671517422200005	87.890625	0.2223433004304234	-3.0788716599304506	2.5916880249960155	-0.0662587843773488	0.5297904419534204	1.9671120853131654	0.04488279057901619	-0.3125704028809836	0.0767374475145264	87.890625	0.7928927960734656	-1.470012886187718	-0.6623713657944081	0.047912510317928605	-0.4576193942181746	0.6318396530381475	0.0	0.0	0.0
97.65625	-0.41672296425483574	2.7717999478915933	1.048929955181067	-0.22161537790659547	0.9419031683829439	-1.2646026765180016	0.00733840871366882	-0.0064286247045388665	-0.003560896299671254	97.65625	0.22212632613764657	-3.0787081372032192	2.591425973594533	-0.06640407077349278	0.5298261197962699	1.9670927966156184	0.04487690261985239	-0.3125810977728239	0.07673988270808194	97.65625	0.7935375537191164	-1.469676428544992	-0.6613914507002927	0.04815187543423936	-0.4576203648149576	0.6317408410687146	0.0	0.0	0.0
107.421875	-0.4167691631618712	2.7718353132876796	1.0489391970713897	-0.22147500904849818	0.9418760413243036	-1.264609525646595	0.007329828178381728	-0.006421540479114562	-0.003552858039875029	107.421875	0.22182664287123588	-3.0784997313375198	2.591057157475731	-0.06658647980569465	0.5298792194810555	1.9670656803483806	0.04486950506456027	-0.3125945357760125	0.07674333260456614	107.421875	0.7943757550519848	-1.4692123116209677	-0.6600582611186612	0.04845641843052409	-0.4576135870726871	0.6316117370374883	0.0	0.0	0.0
117.1875	-0.41683111441146975	2.7718844616339227	1.048951668183118	-0.22126629291754263	0.9418383329048793	-1.2646106775580466	0.007318867352668614	-0.006412402649610939	-0.0035427696991379245	117.1875	0.221429599720113	-3.0782428560458035	2.5905603160315245	-0.06681000912925317	0.5299546148301743	1.967028952716773	0.044860509129421675	-0.3126110833838378	0.0767479653233275	117.1875	0.7954257602233794	-1.4685929278430967	-0.6583187684763003	0.04883691806449331	-0.45759338410804906	0.6314475287609719	0.0	0.0	0.0
126.953125	-0.4169118615134898	2.7719506039734787	1.0489679547363782	-0.22097558914292006	0.9417896775075246	-1.2646020523168013	0.007305150879533602	-0.0064009044944694626	-0.003530397134941625	126.953125	0.22092356317023196	-3.0779329767153807	2.5899159465048314	-0.06707869724733166	0.530057471310364	1.9669808712047319	0.0448498294350467	-0.3126312138549889	0.07675392344282492	126.953125	0.7967006190175603	-1.467789444837609	-0.6561255666850129	0.049303353478359895	-0.4575534148389914	0.6312430778256262	0.0	0.0	0.0
136.71875	-0.4170146119904039	2.7720371584382666	1.048988722184478	-0.22059165384484217	0.9417302470607624	-1.2645794806138504	0.007288288275486772	-0.006386746017793701	-0.0035155372310733827	136.71875	0.22030141527271127	-3.0775641735862607	2.589106870312431	-0.06739663452039305	0.5301932812839036	1.966919754846491	0.044837365197661815	-0.31265549195925585	0.07676132934396294	136.71875	0.7982082114981568	-1.4667733928647715	-0.6534409800983713	0.04986486549270692	-0.4574868907898388	0.6309932452454922	0.0	0.0	0.0
146.484375	-0.41714272131132946	2.7721477464103184	1.0490147856060152	-0.22010581603509838	0.9416605035696762	-1.2645391653591327	0.0072678941330490505	-0.006369641553878812	-0.003497988168487025	146.484375	0.21956012384826357	-3.077129286006313	2.5881183852441834	-0.0677678312389335	0.5303679155777651	1.9668440221348897	0.04482299652766539	-0.3126845204292369	0.07677029377933718	146.484375	0.7999526582436973	-1.4655178795845807	-0.6502401184313522	0.05053149864541554	-0.4573862608153268	0.6306932499967592	0.0	0.0	0.0
156.25	-0.4172996912647552	2.772286207319513	1.0490471882007966	-0.2195104267486503	0.9415809795369404	-1.264477716404081	0.0072435943297172985	-0.006349321913681307	-0.0034775285810431443	156.25	0.21869894747274016	-3.0766205816576737	2.586937895203146	-0.06819677813605789	0.530587639390627	1.9667522231691452	0.044806593310015075	-0.3127188832136885	0.07678092946792907	156.25	0.8019352582792445	-1.4639987892901736	-0.6465123124758673	0.05131501396479925	-0.45724328070620807	0.6303387847072768	0.0	0.0	0.0
166.015625	-0.4174891737652291	2.772456568449344	1.049087235594313	-0.21879635902228098	0.941492212603432	-1.2643916655113303	0.007215037323060882	-0.006325543329669376	-0.0034539291743050705	166.015625	0.21771769130860696	-3.0760311755554515	2.5855546290678846	-0.06868917767171152	0.5308591651486166	1.9666430384012583	0.044788039260497195	-0.31275910065086004	0.0767933599406508	166.015625	0.804153779536582	-1.4621965721352863	-0.6422608408444376	0.05222758229377353	-0.4570495359556728	0.6299260135949759	0.0	0.0	0.0
175.78125	-0.41771494576743157	2.7726629392298943	1.049136473910174	-0.2179519628904837	0.9413946941465746	-1.2642770224287225	0.007181925284779053	-0.0062980977718887984	-0.0034269811177740257	175.78125	0.21661589380791477	-3.075356543048126	2.583960084381281	-0.0692516270826198	0.5311897234979172	1.9665152620912336	0.04476725997497642	-0.31280562187014593	0.07680771133078614	175.78125	0.8066007637149404	-1.4600983947024515	-0.6375019028383792	0.05328044229370871	-0.4567967398941364	0.6294514805147341	0.0	0.0	0.0
185.546875	-0.41798083220727134	2.772909353473078	1.049196637633841	-0.21696498896306463	0.9412886407160386	-1.2641294261723615	0.007144043028401475	-0.006266812770024746	-0.0033965215081315173	185.546875	0.21539280333699173	-3.074595266528714	2.5821487621970736	-0.06989060681516443	0.5315869816387544	1.966367803652139	0.04474423249661684	-0.31285886918618894	0.07682409681148358	185.546875	0.8092620125528974	-1.4576995906862762	-0.6322642104586927	0.054484071579983674	-0.4564766628575459	0.6289119180317263	0.0	0.0	0.0
195.3125	-0.41829060987721917	2.773199614900888	1.049269596226295	-0.21582538383440822	0.9411737240954687	-1.2639446261058678	0.007101242197409386	-0.006231541380184576	-0.0033624515360862646	195.3125	0.21404745230252242	-3.073749161228275	2.5801185355313416	-0.07061184338303676	0.5320587753804629	1.966199724438984	0.04471897648014862	-0.31291928634857014	0.076842610544191	195.3125	0.8121157998615567	-1.4550038713829223	-0.6265889590915542	0.05584899060807433	-0.4560810136156553	0.6283041987834027	0.0	0.0	0.0
