S1_T	S1_AX	S1_AY	S1_AZ	S1_GX	S1_GY	S1_GZ	S1_MX	S1_MY	S1_MZ	S2_T	S2_AX	S2_AY	S2_AZ	S2_GX	S2_GY	S2_GZ	S2_MX	S2_MY	S2_MZ	S3_T	S3_AX	S3_AY	S3_AZ	S3_GX	S3_GY	S3_GZ	S3_MX	S3_MY	S3_MZ
0.0	-1.6943999106747174	4.9828534971656335	2.194822812234966	-0.8884138148703813	-0.2552610010190331	-1.2386369859123547	4.3164376901891914E-5	2.4977571146090846E-4	2.1866421828405382E-4	0.0	-3.1632143485627333	-3.427522304213011	2.4400661290630707	-0.05795530538036882	-0.005425250550106012	1.0763536601368269	-0.23512392534037616	-0.44298571730577846	-0.16767127067907078	0.0	-1.879248216058676	-2.100894012090262	1.6116622345870235	0.35931512458784054	-0.5434945928485738	0.30320855803553337	-0.2063229292437446	0.09584286296302308	0.00245137067285285
9.765625	-1.6943999048820988	4.982853494744631	2.194822814436091	-0.888413538726461	-0.2552610028787259	-1.238636940971088	4.31643654898657E-5	2.497755516925415E-4	2.1866412699063026E-4	9.765625	-3.163214387049517	-3.4275222854442395	2.440066110078259	-0.05795547462428574	-0.005425219891023601	1.0763536631009725	-0.23512393172156834	-0.4429857262090609	-0.16767127138064275	9.765625	-1.8792481204160694	-2.1008938333712304	1.6116622519004298	0.3593147018532945	-0.543494714926011	0.303208473160744	-0.20632292798257137	0.09584286677871556	0.00245137067285285
19.53125	-1.6943998514320167	4.982853466694549	2.1948228335711444	-0.8884110643743336	-0.2552608454046029	-1.2386364925387958	4.316426428052335E-5	2.497743515902466E-4	2.1866337439899045E-4	19.53125	-3.163214727645499	-3.4275221247334766	2.4400659180738127	-0.057956823621586294	-0.005425003512723675	1.0763537053009662	-0.23512397938050203	-0.4429857924502412	-0.16767127409478386	19.53125	-1.8792473345672869	-2.100892086349879	1.6116624782621318	0.35931182463880085	-0.5434956167754723	0.3032077561187892	-0.2063229180588322	0.09584289680308962	0.00245137067285285
29.296875	-1.694399611118919	4.98285331515977	2.1948229166543323	-0.8884004862133318	-0.25525960039351914	-1.2386344473680468	4.316381127716544E-5	2.4976988687263577E-4	2.1866033639573781E-4	29.296875	-3.1632161988170227	-3.427521444495228	2.4400649667124426	-0.05796216319967353	-0.0054242570323086575	1.0763539072557853	-0.23512415600642428	-0.4429860292524467	-0.16767127364014947	29.296875	-1.8792443480428576	-2.1008836554668275	1.6116638444938212	0.3593023139199455	-0.5434988595649349	0.30320483581403873	-0.20632287918114417	0.09584301506388028	0.002451373890906747
39.0625	-1.6943988874154912	4.982852783289068	2.1948231573718644	-0.8883707826716796	-0.25525491237237463	-1.2386284860777428	4.316242589386667E-5	2.497585225524906E-4	2.186520901188832E-4	39.0625	-3.1632204368108665	-3.427519480185114	2.4400618106814767	-0.05797653614008255	-0.005422539610674456	1.0763544356131924	-0.23512460058971912	-0.4429865859860434	-0.16767124374975104	39.0625	-1.8792372353509428	-2.1008563492490184	1.611669126054579	0.359281304565676	-0.5435066254385602	0.3031969954423518	-0.2063227736190219	0.09584333563152819	0.0024513959946141067
48.828125	-1.6943971882538185	4.982851367043061	2.194823683238776	-0.888306703459866	-0.25524292377291685	-1.2386155420242617	4.315912753869044E-5	2.4973553171357866E-4	2.186346442979158E-4	48.828125	-3.1632297915865704	-3.4275149890682424	2.440053740652205	-0.05800694470042488	-0.005419560865165337	1.076355359268729	-0.23512547741467618	-0.4429875839262503	-0.1676711244495131	48.828125	-1.8792250981632241	-2.1007881004957656	1.6116843976987547	0.35924529536234995	-0.5435210342337845	0.3031808749554487	-0.20632254425571658	0.09584402551180263	0.002451466656472856
58.59375	-1.6943937774210496	4.982848235221915	2.1948246201322257	-0.8881891526954857	-0.25521845153408357	-1.2385925536555709	4.3152604646034247E-5	2.496953395658735E-4	2.1860324227529772E-4	58.59375	-3.163246881990036	-3.4275061571250713	2.440036504428693	-0.0580620544820265	-0.005415419171565648	1.0763565824280612	-0.2351269549149526	-0.442989080452709	-0.16767081899395236	58.59375	-1.87920939941697	-2.1006448198482754	1.6117205970087827	0.359192393477242	-0.5435440712626466	0.30315285150752774	-0.20632211746673576	0.09584530177593152	0.0024516082710014236
68.359375	-1.6943875982229435	4.9828421662328575	2.1948260708130243	-0.8879933522741346	-0.25517505254615974	-1.2385568291246947	4.31415293190001E-5	2.4963178021869607E-4	2.1855249838774853E-4	68.359375	-3.1632739503408014	-3.427490514255063	2.4400042516085483	-0.05815224893593047	-0.005410505301366851	1.0763579161319152	-0.2351291998065208	-0.44299107629927387	-0.1676702006216984	68.359375	-1.879194950346854	-2.1003780615301615	1.6117946568927244	0.35912019827330943	-0.5435783713743906	0.303108831572585	-0.20632140769029206	0.09584742348975489	0.002451810262589757
78.125	-1.6943772086448372	4.982831518474426	2.1948281265464837	-0.8876862000685086	-0.25510544646943595	-1.238505713351157	4.3124947920187246E-5	2.4953843125954895E-4	2.1847647865743056E-4	78.125	-3.163312315624371	-3.427464892435729	2.4399498258782515	-0.058289775769582525	-0.005404970181574493	1.076359142374721	-0.23513236488174097	-0.4429935382559764	-0.16766912437048875	78.125	-1.8791908309404268	-2.0999231760142063	1.6119290818539898	0.35902376426774424	-0.5436277454309425	0.30304406660047656	-0.20632031083757935	0.09585067277230784	0.0024520280595797563
87.890625	-1.6943607645460177	4.982814224511387	2.1948308926415803	-0.8872249140776638	-0.25500224458687437	-1.2384359836237482	4.310239269520589E-5	2.494088542559401E-4	2.1836882350503893E-4	87.890625	-3.1633621520183093	-3.427425458156362	2.4398654358291876	-0.0584885889050165	-0.005398219630956008	1.07636001152402	-0.2351365707068888	-0.4429964295279568	-0.16766743622581798	87.890625	-1.8792107422559328	-2.099200181247696	1.6121496637423376	0.35889618364968945	-0.5436966805591279	0.3029535439466222	-0.2063186955422948	0.09585533409488867	0.0024522004987930167
