S1_T	S1_AX	S1_AY	S1_AZ	S1_GX	S1_GY	S1_GZ	S1_MX	S1_MY	S1_MZ	S2_T	S2_AX	S2_AY	S2_AZ	S2_GX	S2_GY	S2_GZ	S2_MX	S2_MY	S2_MZ	S3_T	S3_AX	S3_AY	S3_AZ	S3_GX	S3_GY	S3_GZ	S3_MX	S3_MY	S3_MZ
0.0	-1.1197600886293266	2.992364499974314	1.5374955714855711	0.7971622181594404	-0.1608795384580663	0.3397520188793776	-0.004399006347787624	-0.00110019077688566	0.006447854586350297	0.0	-1.0745807079030192	-2.706015081855152	2.552730081870979	-0.43658459624081125	1.9110890619017387	0.9552247133206223	-0.08855406007262158	-0.2933499938009575	0.13062191479632232	0.0	-0.4916142370037583	-1.8768576892600641	0.597706853850139	0.6301930459188889	1.9244694937205566	2.2169227160564136	-0.1274646831427453	-0.19588743620336388	-0.007633621746979645
9.765625	-1.1197600921932205	2.9923644969587118	1.537495565454366	0.7971616743847952	-0.16087977464867792	0.33975197814408686	-0.004399005058346717	-0.00110019077688566	0.006447852652188937	9.765625	-1.0745806661153108	-2.706014994225877	2.5527302362533457	-0.4365846022210467	1.9110891565688468	0.9552247333987963	-0.08855406007262158	-0.29334999023284813	0.13062191630413628	9.765625	-0.49161429336321844	-1.8768576724178023	0.5977068554242693	0.6301930501009152	1.9244695517615678	2.2169227151679225	-0.12746468242363404	-0.1958874441288292	-0.007633621746979645
19.53125	-1.119760116964164	2.9923644676899595	1.5374955176085436	0.7971571251857058	-0.16088170011572409	0.3397515708583531	-0.004398994912178931	-0.00110019077688566	0.006447837432937258	19.53125	-1.074580578636028	-2.7060143205319713	2.5527315269422206	-0.4365845535175902	1.9110899581286582	0.9552248685631899	-0.08855405726633368	-0.29334995502040173	0.1306219274146997	19.53125	-0.49161500852847934	-1.8768575144237643	0.5977070104186855	0.6301930913467503	1.924470126581438	2.2169227504020106	-0.1274646767651943	-0.19588750649159456	-0.007633621746979645
29.296875	-1.1197601930996128	2.9923643262771615	1.5374953367844921	0.7971382627318628	-0.16088921592328334	0.339749671695825	-0.004398957741976235	-0.0011001927110470197	0.006447773940987775	29.296875	-1.0745816398225165	-2.7060118843554726	2.552736780597353	-0.43658383329771494	1.9110933012684996	0.9552253228571527	-0.08855404079719348	-0.29334979172973824	0.13062196720934183	29.296875	-0.49161912699989435	-1.876856865794104	0.5977082881814813	0.6301935024070145	1.924472847677074	2.216923010420551	-0.12746464524898907	-0.19588774648379573	-0.007633621015203006
39.0625	-1.1197603208834728	2.992363862279298	1.5374948911814488	0.7970854565760473	-0.16090834040979213	0.33974388949899736	-0.004398865593098814	-0.0011002008383737137	0.006447588057434217	39.0625	-1.074589447085081	-2.7060063334286544	2.552751035012445	-0.4365799730322367	1.9111026929324633	0.955226397887862	-0.08855399354129515	-0.2933492984036214	0.1306220642430421	39.0625	-0.49163427585721275	-1.8768553017917085	0.597713582751218	0.6301962389346304	1.9244813108255578	2.2169239252466024	-0.12746452156612037	-0.19588837007729648	-0.0076336159888805094
48.828125	-1.1197604029572759	2.9923626773560454	1.5374940550087703	0.7969718221451702	-0.16094459321267832	0.3397304346290023	-0.0043986782990758444	-0.0011002091711208245	0.0064471584362625475	48.828125	-1.0746183364257573	-2.705997551625726	2.55278080910675	-0.43656672654360656	1.911123155413066	0.9552284649638144	-0.08855389653222906	-0.2933481644161112	0.1306222521181153	48.828125	-0.4916757952630544	-1.8768528144992707	0.5977283358864269	0.6302081506194104	1.9245014794672333	2.2169262290922007	-0.12746417642888694	-0.1958896461538947	-0.007633592602801028
58.59375	-1.1197601988538652	2.9923601297879965	1.5374927257651796	0.7967696787837061	-0.160999537402899	0.33970420011296654	-0.004398341465216629	-0.0011001860208366499	0.006446309173370805	58.59375	-1.0746946806787956	-2.705988372474843	2.552832852617202	-0.43653261175536245	1.911160747026494	0.9552318306903028	-0.08855371953203031	-0.2933459943650032	0.1306225625363517	58.59375	-0.491768655436693	-1.8768500696863095	0.5977602135088115	0.6302452646530358	1.9245419669820014	2.2169311335640205	-0.12746342785663184	-0.19589189786331038	-0.007633502819053865
68.359375	-1.1197593233989425	2.9923552743914352	1.5374907878863657	0.7964571623803497	-0.1610683565451409	0.33965879324686193	-0.0043977951462722265	-0.0011000780679242643	0.00644479870904023	68.359375	-1.0748580866749473	-2.7059860364484605	2.552912843828237	-0.4364608642743022	1.9112223853937498	0.9552364215652694	-0.08855341005566016	-0.293342354798767	0.1306230161955022	68.359375	-0.4919486186509452	-1.8768480683205369	0.5978186425863894	0.6303353068661907	1.9246143964592402	2.216940447347196	-0.12746205786219364	-0.1958954959513483	-0.0076332406715724655
78.125	-1.1197572918095404	2.9923467771224233	1.5374880308422307	0.7960213960372656	-0.16113901016007437	0.33958645270587634	-0.004396978940511088	-0.0010998237893136975	0.00644232810220948	78.125	-1.0751609856365154	-2.706003381169291	2.553024178548424	-0.43633018692466813	1.9113163525881935	0.9552414329389812	-0.08855290639010988	-0.2933368256246244	0.1306236231794944	78.125	-0.49226343384609705	-1.8768479089801995	0.5979151420077571	0.6305173421004375	1.9247334245585987	2.2169563578115996	-0.1274598382265611	-0.19590082359099997	-0.007632657609389916
87.890625	-1.1197536200333909	2.99233280888377	1.5374840196051247	0.7954579365559914	-0.16119243683760914	0.3394782133479232	-0.004395832612029635	-0.0010993569364595006	0.006438570113822082	87.890625	-1.075667541217117	-2.706060092931733	2.5531671492116765	-0.43611517386554804	1.911452992875233	0.9552451282851698	-0.08855215752282326	-0.2933290038315545	0.13062439468938042	87.890625	-0.49277405731192936	-1.8768514135426109	0.5980647140333634	0.6308406537734765	1.9249163368486475	2.216980891576385	-0.12745657123417586	-0.1959082352302565	-0.007631608534137619
