S1_T	S1_AX	S1_AY	S1_AZ	S1_GX	S1_GY	S1_GZ	S1_MX	S1_MY	S1_MZ	S2_T	S2_AX	S2_AY	S2_AZ	S2_GX	S2_GY	S2_GZ	S2_MX	S2_MY	S2_MZ	S3_T	S3_AX	S3_AY	S3_AZ	S3_GX	S3_GY	S3_GZ	S3_MX	S3_MY	S3_MZ
0.0	0.9490491485123511	4.721332079500976	1.4074480774011988	-2.073840064013002	-1.783189806799476	-2.0267117245222024	1.2827505054286754E-5	-8.321397491209191E-5	-1.4607992578905067E-4	0.0	-0.4504006890815827	-3.9449830642127215	2.2574040366148527	0.36042519724479016	-1.3346578995547145	0.5416437819406552	-0.050610309767713496	-0.49660547680541606	-0.1579355513607964	0.0	0.12512383357675583	-3.9413435193988513	-1.3731591460571768	0.5023188601182662	-0.25559969185432974	-0.29224900510016444	-0.10669406915904454	-0.015840225288200033	-0.29063793404064975
9.765625	0.9490491501028997	4.72133208277733	1.4074480844786275	-2.073840875957945	-1.7831898594078444	-2.0267117270013197	1.2827516466312965E-5	-8.321396350006569E-5	-1.4607977743723738E-4	9.765625	-0.45040070871232546	-3.944983055603038	2.2574039883873436	0.3604253774950261	-1.3346578579244253	0.5416437742525381	-0.05061031104395194	-0.49660547871326227	-0.15793555065922443	9.765625	0.12512392796274438	-3.9413433406798197	-1.3731591036114068	0.5023186422628632	-0.255599752346765	-0.2922490037777527	-0.10669406915904454	-0.015840225288200033	-0.29063793404064975
19.53125	0.9490491609942837	4.721332117044536	1.4074481521771833	-2.073847796829768	-1.7831903870962456	-2.0267117499520437	1.282754920349805E-5	-8.321386229072334E-5	-1.4607870140117624E-4	19.53125	-0.4504009061245308	-3.944982981604916	2.2574035745221446	0.3604265652294422	-1.334657648716579	0.5416437093433891	-0.05061032108623405	-0.49660549245355184	-0.1579355458403674	19.53125	0.12512480417952684	-3.9413417480067228	-1.373158593597033	0.5023169380979196	-0.2556002890733296	-0.2922490370885356	-0.10669406915904454	-0.015840225288200033	-0.29063793404064975
29.296875	0.9490491943062868	4.721332293572531	1.4074484803819123	-2.0738772631153424	-1.7831929059093128	-2.026711943146256	1.2827452010932889E-5	-8.321342069939166E-5	-1.4607484657514676E-4	29.296875	-0.45040186982617636	-3.9449826719790786	2.2574018135329648	0.36043023981927474	-1.3346572034594504	0.5416434228108287	-0.050610358513973684	-0.4966055368062069	-0.1579355283305708	29.296875	0.12512869636387064	-3.941334927828997	-1.37315576313933	0.5023098757605609	-0.25560269753138387	-0.29224938282000773	-0.10669407105080439	-0.015840226560097526	-0.2906379346842605
39.0625	0.9490492512856169	4.721332904060675	1.4074495745856166	-2.0739627619888865	-1.7832008417180514	-2.0267130089131093	1.282680801321538E-5	-8.321212511340903E-5	-1.4606542615527501E-4	39.0625	-0.4504049732861733	-3.944981830257395	2.2573967068695313	0.3604374208049738	-1.3346567057101733	0.5416425449513319	-0.05061044899741531	-0.49660562035128264	-0.1579354815972944	39.0625	0.1251401115567749	-3.9413157786196793	-1.373145625724751	0.5022892518306453	-0.25560997274099584	-0.29225087344986367	-0.10669408782817297	-0.015840236568222213	-0.29063793653055886
48.828125	0.9490493015586725	4.721334530787948	1.4074524293866413	-2.0741556324213026	-1.7832198157739654	-2.026716742755569	1.282533607407984E-5	-8.320917855224834E-5	-1.4604711914593615E-4	48.828125	-0.45041255809584396	-3.94498015042693	2.2573851085549124	0.3604471889987071	-1.3346564999350259	0.541640400317128	-0.050610610768888856	-0.4966057178421212	-0.15793538297072787	48.828125	0.1251658267120399	-3.941274971212854	-1.3731182940744364	0.5022419262617114	-0.2556267777689817	-0.29225496350403973	-0.10669416103031376	-0.01584027577650285	-0.2906379310491324
58.59375	0.9490493053367917	4.7213381465272635	1.407458690405991	-2.074519454210725	-1.7832571165466278	-2.0267261349611987	1.2823435766152596E-5	-8.320353097940195E-5	-1.4601609680227193E-4	58.59375	-0.45042786533764806	-3.9449775088105383	2.257362953861546	0.3604557654418644	-1.3346568231293612	0.5416358348651956	-0.05061084452314326	-0.49660577074918616	-0.1579352207316295	58.59375	0.12521457422211005	-3.9412024694495007	-1.3730577151894814	0.5021506300580331	-0.25565912996055273	-0.29226357670127945	-0.10669437832061583	-0.015840377148672227	-0.2906378927983806
68.359375	0.9490493034975103	4.72134519610287	1.407470769504117	-2.0751211818271122	-1.783320660383561	-2.0267450820902315	1.282206631110355E-5	-8.319383975348107E-5	-1.459677886186483E-4	68.359375	-0.4504547539202755	-3.944974092300712	2.2573259425016055	0.36045614008739824	-1.334657705517727	0.5416270495956522	-0.05061114384297191	-0.4966057020098364	-0.1579350195363011	68.359375	0.1252973372103007	-3.94108784323838	-1.372941486755668	0.5019945254126456	-0.2557144087019932	-0.29227918251706936	-0.10669488472474686	-0.015840578605026995	-0.2906377990967789
78.125	0.949049536459319	4.721357669156736	1.4074919134934414	-2.0760220089088084	-1.783417307610932	-2.026777924044931	1.2822087912282948E-5	-8.317824369719819E-5	-1.458970953238745E-4	78.125	-0.4504971445042073	-3.9449703503193496	2.2572704222982325	0.36043783991022005	-1.334659117092672	0.5416116611663668	-0.05061151141867418	-0.49660543485706926	-0.15793485329551998	78.125	0.1254290480249438	-3.9409195329433544	-1.3727421958850188	0.5017488884303658	-0.25580159802318675	-0.29230503249017864	-0.10669588757037521	-0.015840927167450784	-0.2906376607737337
87.890625	0.949050531061013	4.7213781808695785	1.4075262263234964	-2.077268787811669	-1.783550197303351	-2.0268284610122413	1.2823867278430307E-5	-8.315423816578661E-5	-1.4579911788652466E-4	87.890625	-0.45055810443118727	-3.9449666909506296	2.257194127536112	0.3603867503678189	-1.334661097420508	0.5415869256998749	-0.0506119629874963	-0.49660493351868895	-0.15793483711230066	87.890625	0.125631150263537	-3.9406845280070018	-1.3724295624255334	0.5013852822901477	-0.2559310767865795	-0.2923451104355778	-0.10669766088919155	-0.015841491410066192	-0.2906375128239563
97.65625	0.9490531539407082	4.721410065697419	1.4075786450612775	-2.078889393266829	-1.783716121386935	-2.0268986625463703	1.2827517512630888E-5	-8.311909636433502E-5	-1.4566950014326664E-4	97.65625	-0.4506386313952086	-3.944962996579865	2.2570968099262863	0.36028543586034784	-1.3346636186198997	0.5415498852953451	-0.05061253067936321	-0.49660423477784155	-0.1579351016086618	97.65625	0.1259338075618667	-3.940369289126306	-1.3719717650790604	0.5008730120572071	-0.25611381875197414	-0.29240374129847513	-0.10670055118229615	-0.015842359465103085	-0.290637380909275
107.421875	0.9490586706351509	4.721457484059757	1.4076548938477276	-2.0808931509330253	-1.7839040996690967	-2.0269878441010887	1.2833224555510023E-5	-8.307050393578868E-5	-1.455040417613065E-4	107.421875	-0.45073635647551996	-3.9449582046672718	2.256980891593955	0.3601140979950395	-1.3346661395057968	0.541497410002196	-0.05061326581026887	-0.49660341655573165	-0.1579357646357143	107.421875	0.12637776525893193	-3.9399608123558654	-1.3713350117302652	0.5001810377729696	-0.25636036689142666	-0.2924850197169135	-0.10670497233008228	-0.015843628823146053	-0.29063728809247
117.1875	0.9490688115964653	4.721525527569571	1.407761451890194	-2.083271600110583	-1.7840951281590076	-2.027092311093605	1.2841087726586686E-5	-8.300665646407258E-5	-1.452983705180784E-4	117.1875	-0.4508445149178566	-3.944950044553094	2.256852007020666	0.35985164434182315	-1.3346668022068024	0.5414261964791531	-0.05061422967686749	-0.4966025312198108	-0.15793691564970258	117.1875	0.12701567423545795	-3.93944645890245	-1.370482423740917	0.49927876527015635	-0.25667991854428635	-0.2925922436155565	-0.10671138469443263	-0.0158453979186192	-0.2906372897179757
