S1_T	S1_AX	S1_AY	S1_AZ	S1_GX	S1_GY	S1_GZ	S1_MX	S1_MY	S1_MZ	S2_T	S2_AX	S2_AY	S2_AZ	S2_GX	S2_GY	S2_GZ	S2_MX	S2_MY	S2_MZ	S3_T	S3_AX	S3_AY	S3_AZ	S3_GX	S3_GY	S3_GZ	S3_MX	S3_MY	S3_MZ
0.0	-0.9326848564865391	3.692060837913281	1.4087554592615215	-0.10247730159037392	-0.16185657054708072	-0.8367625458781752	-1.9909324848468713E-4	3.8751477924008036E-5	9.864217418948785E-5	0.0	-1.3337440471529707	-2.6020277913589482	1.916607145098772	-0.4051998866165195	-1.5174844907198366	1.0640133323015546	-0.2020284559407308	-0.2508044121364617	0.030355998111014124	0.0	-1.1678363549157138	-1.4806639129905428	1.220826775575561	-0.4671875505271239	-1.7691567334801326	-0.8177425279573168	-0.07251161775272894	-0.09130360763331094	0.08541789970572525
9.765625	-0.9326848597975913	3.692060837026186	1.4087554581021786	-0.10247700946811575	-0.1618564563615473	-0.8367624983730201	-1.9909318001252985E-4	3.8751466511981825E-5	9.864217418948785E-5	9.765625	-1.3337440470599604	-2.60202777202446	1.9166071543998082	-0.40519984168044654	-1.5174844648417702	1.064013328309737	-0.2020284591313269	-0.25080440704887175	0.03035599740944215	9.765625	-1.1678363521384607	-1.4806640185972433	1.2208267200304983	-0.4671877618943969	-1.769156735822402	-0.8177425703947115	-0.07251161775272894	-0.09130360763331094	0.08541789970572525
19.53125	-0.9326848922257325	3.6920608268727975	1.4087554458261087	-0.10247501017372512	-0.16185566924850012	-0.8367621705166525	-1.9909264122863301E-4	3.875137671466568E-5	9.864217418948785E-5	19.53125	-1.333744036593439	-2.602027596114799	1.9166072436285666	-0.4051993978979543	-1.5174841697505494	1.0640133121899715	-0.2020284784939592	-0.25080436638042425	0.030355996098445	19.53125	-1.1678363938272058	-1.480664942367308	1.220826267028373	-0.4671894280892418	-1.769156695067862	-0.8177428619535676	-0.07251161964448878	-0.09130361272090091	0.0854179106471085
29.296875	-0.9326850528364641	3.692060772921021	1.4087553806643556	-0.1024683519855695	-0.1618530256817111	-0.8367610230565914	-1.9909058752467075E-4	3.875097927254528E-5	9.864219701284374E-5	29.296875	-1.3337439691234723	-2.6020267963136465	1.9166076779294001	-0.40519736388287264	-1.5174826653048523	1.0640132915214837	-0.20202853229705214	-0.2508041988197006	0.030356002682933553	29.296875	-1.1678369039078986	-1.480668942603058	1.2208246065893416	-0.4671957526658783	-1.7691562391259477	-0.8177437943278021	-0.07251162885481797	-0.09130365148150217	0.08541799159221053
39.0625	-0.9326855977480968	3.692060587560845	1.4087551499705373	-0.1024530951690028	-0.1618470175482599	-0.8367582026321168	-1.9908533952337038E-4	3.8749801823601965E-5	9.864228530857167E-5	39.0625	-1.3337437740698033	-2.6020243409667683	1.916609153819384	-0.4051913709215395	-1.5174778647632536	1.0640132941138416	-0.20202862286967893	-0.25080372423868047	0.030356037886064217	39.0625	-1.167839419217687	-1.4806806792992946	1.2208211718564768	-0.46721162854172327	-1.7691541733715082	-0.817745706194208	-0.0725116475592168	-0.09130379194701257	0.08541828771947302
48.828125	-0.9326870407393771	3.6920601094517025	1.408754534295316	-0.10242400636337559	-0.1618362054013133	-0.8367525377077302	-1.990748353103905E-4	3.874731117666646E-5	9.864232757691473E-5	48.828125	-1.3337434317984802	-2.602018575676362	1.916613177463769	-0.40517806237386006	-1.5174666346403085	1.0640133250184158	-0.20202871811371206	-0.25080267788373484	0.03035612876244776	48.828125	-1.1678474930888632	-1.4807075728335315	1.2208176951998124	-0.46724229621531765	-1.7691482066468809	-0.8177486743247511	-0.0725116687560007	-0.09130412344955591	0.08541902880151919
58.59375	-0.9326902507307876	3.6920590975594587	1.4087531991222908	-0.10237294192416607	-0.16181946487823773	-0.8367424428531002	-1.990568096608948E-4	3.8743222155419574E-5	9.864184980988592E-5	58.59375	-1.333742940079605	-2.602007490214112	1.9166226326465605	-0.4051535622465566	-1.5174453174921472	1.0640133241992509	-0.20202875216572405	-0.25080073388431334	0.030356304178828397	58.59375	-1.1678672936323624	-1.480759790176243	1.2208204644510992	-0.4672921480459377	-1.7691351835259954	-0.8177525442768592	-0.07251168501771149	-0.09130471380197387	0.08542050524433646
68.359375	-0.9326965354327328	3.6920572262707845	1.4087507157494439	-0.10228886523337813	-0.16179631366691727	-0.836725883206967	-1.9902890790251122E-4	3.8737526900131285E-5	9.863999556704573E-5	68.359375	-1.333742027420585	-2.601989225394943	1.9166425296936551	-0.40511397394769755	-1.5174100374286636	1.0640131332625433	-0.20202864477103896	-0.2507975296367232	0.030356588722712814	68.359375	-1.167907158382953	-1.480850109768483	1.2208409711178887	-0.46736413238788893	-1.7691115371284662	-0.8177570003909068	-0.07251169806263043	-0.09130558143717186	0.08542305873099579
78.125	-0.9327077161578186	3.6920540515396296	1.4087465873569462	-0.10216005948880806	-0.16176718750779712	-0.8367004368787531	-1.9898871877566799E-4	3.873026731086365E-5	9.863543192399038E-5	78.125	-1.333739785603327	-2.6019625545840928	1.9166807955920029	-0.4050554611139907	-1.517356578372673	1.0640124347252267	-0.20202832351715555	-0.2507926945910011	0.03035699177407008	78.125	-1.167975717534179	-1.4809939365641964	1.2208947071567848	-0.46745989953105055	-1.7690733526584752	-0.8177616697875927	-0.07251172329146462	-0.09130670125104717	0.08542708444131973
87.890625	-0.9327262053721106	3.6920489385270034	1.4087402576004024	-0.1019757586254592	-0.16173368517715386	-0.8366633086523418	-1.9893348496956902E-4	3.8721163925343776E-5	9.862602014272942E-5	87.890625	-1.333734480831462	-2.601927193795458	1.9167487819336084	-0.40497343656591733	-1.5172801769084898	1.0640107087935826	-0.2020277298908403	-0.25078585405754	0.030357509264504073	87.890625	-1.1680798465502507	-1.4812096768595693	1.2209994781876456	-0.46757992656986236	-1.7690156650891133	-0.8177663044368979	-0.07251180311109422	-0.09130804187491924	0.08543302472146787
97.65625	-0.932755082408021	3.692040985167991	1.4087311100101563	-0.10172708285714831	-0.16169913375725564	-0.8366115295566158	-1.9885968178656274E-4	3.8709167595279666E-5	9.860863665930152E-5	97.65625	-1.333723545531539	-2.6018839593104572	1.9168611405768101	-0.4048615041303112	-1.5171754573104408	1.0640072343955134	-0.20202680471714468	-0.2507765920034847	0.03035813725377651	97.65625	-1.168224083629625	-1.4815190724416338	1.2211741109316347	-0.46772255354270476	-1.7689315900926357	-0.8177709084612812	-0.07251202217425022	-0.09130960223320514	0.08544134820942696
107.421875	-0.9327981465857732	3.6920289862241047	1.4087184884685882	-0.1014078323786517	-0.1616688545777952	-0.8365423565048706	-1.9876305436593238E-4	3.8692312445480046E-5	9.857932162100722E-5	107.421875	-1.3337035391388654	-2.601834743088058	1.9170349840307588	-0.40471098376573217	-1.5170364041977185	1.0640010853238193	-0.20202546775877694	-0.2507644214419936	0.03035887681881797	107.421875	-1.1684113709922699	-1.4819466317834087	1.221437474191535	-0.46788273800549735	-1.7688121377402453	-0.8177758549909585	-0.07251250083333517	-0.09131140011502668	0.0854525234412428
117.1875	-0.9328599256762214	3.6920114464101976	1.408701744417602	-0.10101306405651317	-0.16164935934675528	-0.8364532961405697	-1.9863898849771115E-4	3.866801707647571E-5	9.85334398715123E-5	117.1875	-1.3336699763517816	-2.601782217000708	1.9172885087502907	-0.40451095379148155	-1.5168563047840187	1.0639911173482488	-0.20202361533565924	-0.2507487865409962	0.03035973058281637	117.1875	-1.1686440603083021	-1.4825179526569499	1.2218077482112681	-0.46805168284628257	-1.7686466491047441	-0.8177818988384149	-0.0725133550271049	-0.09131342511124116	0.08546700455781528
126.953125	-0.9329456291543057	3.6919866183645147	1.408680291876362	-0.10053616644144846	-0.16164734126365285	-0.8363418496170132	-1.9848248643591974E-4	3.863343428449837E-5	9.846571486856345E-5	126.953125	-1.3336172328891478	-2.601729271534357	1.9176393470188355	-0.40424866695190886	-1.5166276766427036	1.063975973344027	-0.2020211299442527	-0.2507290791993437	0.030360700359415127	126.953125	-1.168924434646704	-1.4832579378502957	1.2223016937098838	-0.4682174600796783	-1.7684233799741758	-0.8177899620554173	-0.07251464407698782	-0.09131561028945819	0.0854852361045793
136.71875	-0.933061071504548	3.691952539801837	1.408653672570492	-0.09996816462448764	-0.16166968334479384	-0.8362055718773824	-1.9828778526377938E-4	3.8585612410838266E-5	9.837036795688234E-5	136.71875	-1.333538826854058	-2.6016783647626873	1.9181029672724077	-0.4039101359075377	-1.5163421103122388	1.0639541057786583	-0.20201788373698587	-0.25070467137726127	0.03036178439051822	136.71875	-1.1692542996789412	-1.4841899569779098	1.2229335921971218	-0.46836559816224305	-1.7681296213821005	-0.8178008512031144	-0.0725163524533018	-0.09131783198963536	0.08550766037644436
